ID_Etude;Nombre_d_absences;Note_de_premiere_periode;Note_de_deuxieme_periode;Note_Finale;Temps_d_etude;Temps_de_trajet
ET1;6;5;6;6;2;2
ET10;0;14;15;15;2;1
ET100;0;7;9;8;3;1
ET101;14;7;7;5;1;1
ET102;0;16;17;17;3;1
ET103;4;10;13;14;1;1
ET104;26;7;6;6;2;2
ET105;0;16;18;18;2;1
ET106;10;10;11;11;4;1
ET107;8;7;8;8;4;1
ET108;2;16;18;18;3;1
ET109;6;10;13;13;4;4
ET11;0;10;8;9;2;1
ET110;4;14;15;16;3;1
ET111;6;18;19;19;1;1
ET112;0;7;10;10;3;1
ET113;6;10;13;13;2;1
ET114;10;18;19;19;1;1
ET115;8;9;9;9;2;1
ET116;2;15;15;16;2;1
ET117;2;11;13;14;2;2
ET118;0;13;14;13;1;2
ET119;20;9;7;8;2;3
ET12;4;10;12;12;3;3
ET120;6;14;13;13;1;1
ET121;2;16;15;15;2;1
ET122;6;16;14;15;4;1
ET123;2;13;13;13;2;2
ET124;18;14;11;13;1;1
ET125;0;8;7;8;2;1
ET126;0;13;13;12;1;1
ET127;0;7;10;11;2;1
ET128;2;7;8;9;2;1
ET129;0;7;4;0;1;1
ET13;2;14;14;14;1;1
ET130;8;18;18;18;1;1
ET131;0;12;0;0;3;2
ET132;0;8;0;0;1;3
ET133;12;10;13;12;1;1
ET134;16;12;11;11;1;1
ET135;0;9;0;0;2;4
ET136;0;11;0;0;3;1
ET137;0;10;0;0;2;3
ET138;0;4;0;0;1;2
ET139;0;14;12;12;2;1
ET14;2;10;10;11;2;2
ET140;0;16;16;15;1;2
ET141;0;7;9;0;4;2
ET142;8;9;9;9;1;2
ET143;2;9;11;11;3;1
ET144;2;14;14;13;1;1
ET145;0;5;0;0;1;1
ET146;0;8;11;11;2;1
ET147;0;6;7;0;2;1
ET148;2;10;11;11;2;1
ET149;0;7;6;0;1;1
ET15;0;14;16;16;3;1
ET150;0;8;9;10;1;4
ET151;0;6;5;0;1;1
ET152;6;12;13;14;1;1
ET153;8;10;10;10;3;2
ET154;0;5;0;0;1;1
ET155;0;11;11;12;1;1
ET156;2;11;8;8;2;1
ET157;8;16;12;13;1;1
ET158;6;9;8;10;1;3
ET159;2;17;15;15;1;3
ET16;4;14;14;14;1;1
ET160;4;10;12;12;2;1
ET161;0;7;6;0;1;2
ET162;6;5;9;7;2;2
ET163;0;7;0;0;1;2
ET164;2;10;10;10;1;1
ET165;0;5;8;7;2;4
ET166;16;12;11;12;1;2
ET167;4;10;10;10;2;1
ET168;0;14;15;16;2;1
ET169;0;6;7;0;2;1
ET17;6;13;14;14;3;1
ET170;0;14;14;14;2;1
ET171;0;6;5;0;1;3
ET172;2;13;15;16;2;2
ET173;0;13;11;10;2;1
ET174;0;8;7;0;2;1
ET175;4;10;11;9;2;2
ET176;4;10;9;9;2;2
ET177;2;13;13;11;2;2
ET178;4;6;5;6;2;1
ET179;10;10;8;9;1;1
ET18;4;8;10;10;2;3
ET180;4;10;10;11;2;1
ET181;10;9;8;8;2;1
ET182;2;12;13;12;2;1
ET183;0;16;17;17;2;1
ET184;56;9;9;8;2;1
ET185;14;12;13;12;2;1
ET186;12;12;12;11;2;1
ET187;2;11;12;11;1;1
ET188;0;15;15;15;2;1
ET189;6;8;7;9;2;1
ET19;16;6;5;5;1;1
ET190;4;8;9;10;2;1
ET191;10;11;12;13;2;1
ET192;0;8;8;9;2;1
ET193;12;7;8;8;2;2
ET194;8;8;9;10;1;1
ET195;0;13;14;14;1;2
