ID_etudiant;sexe;Age;Tuteur;Etat_de_sante;Consomation_d_alcool_au_travail;Consomation_d_alcool_au_Weekend
E1;F;18;mother;3;1;1
E10;M;15;mother;5;1;1
E100;F;16;mother;3;1;1
E101;M;16;mother;4;5;5
E102;M;16;father;4;1;1
E103;M;15;mother;5;1;1
E104;F;15;mother;2;1;1
E105;M;15;mother;1;1;1
E106;F;15;father;4;1;1
E107;F;15;mother;3;1;1
E108;M;16;father;5;1;1
E109;M;15;father;1;3;5
E11;F;15;mother;2;1;2
E110;F;16;mother;4;1;1
E111;M;15;mother;4;1;1
E112;F;16;father;2;1;1
E113;F;16;mother;5;1;1
E114;M;15;mother;3;1;1
E115;M;15;mother;5;1;1
E116;M;16;father;5;1;2
E117;M;15;father;2;1;1
E118;M;16;father;5;1;1
E119;M;17;father;5;1;4
E12;F;15;father;4;1;1
E120;M;15;father;4;1;2
E121;F;15;mother;1;1;2
E122;M;15;father;5;1;2
E123;F;16;father;5;1;2
E124;M;16;mother;5;1;4
E125;F;16;mother;5;1;1
E126;M;15;father;5;3;2
E127;F;15;mother;1;1;1
E128;F;19;other;5;1;1
E129;M;18;mother;4;1;2
E13;M;15;father;5;1;3
E130;M;16;mother;4;2;5
E131;F;15;father;5;2;2
E132;F;15;mother;4;1;2
E133;F;17;father;5;1;3
E134;F;16;father;5;1;4
E135;M;15;mother;5;1;1
E136;F;15;mother;5;1;1
E137;M;17;mother;5;2;4
E138;F;16;other;5;1;1
E139;M;16;mother;5;1;3
E14;M;15;mother;3;1;2
E140;F;15;mother;5;1;1
E141;M;15;father;3;1;1
E142;M;16;father;2;2;2
E143;F;15;mother;5;1;1
E144;F;16;mother;1;3;3
E145;M;17;mother;5;1;2
E146;F;15;father;5;1;2
E147;F;15;father;3;1;1
E148;F;15;mother;5;1;1
E149;M;16;mother;5;2;1
E15;M;15;other;3;1;1
E150;M;15;mother;5;2;5
E151;M;18;mother;4;2;5
E152;M;16;mother;5;3;5
E153;F;15;other;3;2;3
E154;M;19;mother;4;1;1
E155;F;17;mother;4;1;1
E156;M;15;mother;1;1;1
E157;M;17;mother;5;3;3
E158;F;18;mother;4;1;5
E159;M;16;mother;3;1;2
E16;F;16;mother;2;1;2
E160;M;16;father;5;4;4
E161;M;17;mother;5;2;2
E162;M;15;mother;3;1;4
E163;M;16;mother;5;2;4
E164;M;17;father;2;1;4
E165;M;17;mother;5;1;5
E166;M;16;mother;2;1;1
E167;M;16;father;4;2;4
E168;F;16;father;3;1;1
E169;F;16;mother;4;1;1
E17;F;16;mother;2;1;2
E170;F;16;mother;3;1;1
E171;M;16;father;2;2;4
E172;M;16;mother;3;1;1
E173;M;17;mother;5;1;3
E174;F;16;mother;3;1;1
E175;F;16;mother;4;1;1
E176;M;17;mother;4;4;4
E177;F;16;mother;5;1;4
E178;M;17;father;4;1;4
E179;M;16;mother;3;3;4
E18;F;16;mother;4;1;1
E180;M;17;mother;2;1;1
E181;M;16;mother;3;2;3
E182;M;16;mother;3;1;2
E183;F;17;father;5;2;3
E184;F;17;mother;1;2;3
E185;F;16;mother;1;1;2
E186;M;17;mother;4;2;3
E187;M;16;mother;3;1;2
E188;M;16;mother;5;1;2
E189;F;17;mother;3;1;3
E19;M;17;mother;5;2;4
E190;M;17;mother;3;1;5
E191;F;16;mother;2;1;1
E192;F;17;mother;3;1;1
E193;M;17;other;5;4;5
E194;M;16;mother;5;3;4
E195;M;16;father;3;1;1
E196;F;17;father;5;1;1
E197;M;17;mother;5;1;2
E198;M;16;father;3;3;5
E199;F;17;mother;2;2;3
E2;F;17;father;3;1;1
E20;M;16;father;5;1;3
E200;F;16;mother;3;1;2
E201;F;16;mother;2;1;5
E202;F;16;mother;4;1;3
E203;F;17;mother;1;1;3
E204;F;17;mother;3;1;2
E205;F;16;mother;5;1;1
E206;F;17;mother;5;3;4
E207;F;16;mother;4;2;2
E208;F;16;mother;1;1;1
E209;F;16;mother;5;1;4
E21;M;15;mother;1;1;1
E210;F;17;mother;4;1;1
E211;F;19;other;3;1;2
E212;M;17;mother;3;4;5
E213;F;16;mother;4;1;1
E214;M;18;mother;5;2;4
E215;F;17;mother;3;1;2
E216;F;17;mother;1;1;3
E217;F;17;mother;1;2;4
E218;M;18;father;4;2;4
E219;F;17;father;3;1;4
E22;M;15;father;5;1;1
E220;F;17;mother;4;1;1
E221;F;17;mother;5;1;2
E222;F;17;mother;5;1;1
E223;F;16;mother;3;1;1
E224;M;18;mother;4;5;5
E225;F;16;mother;5;1;1
E226;F;18;mother;4;1;1
E227;F;17;mother;3;1;3
E228;M;17;father;3;1;3
E229;M;18;mother;3;4;5
E23;M;16;mother;5;1;3
E230;F;17;mother;3;1;2
E231;F;17;father;3;1;2
E232;M;17;father;1;1;1
E233;M;17;mother;2;1;3
E234;M;16;father;1;2;4
E235;M;16;mother;5;1;1
E236;M;16;mother;2;1;3
E237;M;17;father;4;5;5
E238;F;16;mother;5;1;1
E239;F;17;mother;3;1;1
E24;M;16;mother;5;2;4
E240;M;18;father;2;3;5
E241;M;17;mother;5;1;4
E242;M;17;mother;4;2;3
E243;M;16;mother;3;1;1
E244;M;16;mother;5;1;2
E245;F;18;other;3;1;1
E246;M;16;mother;4;1;1
E247;M;17;father;2;1;1
