ID_Parent;Education_de_mere;Education_du_per;Travaille_de_mere;Travaille_du_per;Qualite_de_relation_familiales;Statut_des_parent
P1;4;4;at_home;teacher;4;A
P10;3;4;other;other;5;T
P100;4;3;other;at_home;5;T
P101;4;4;services;services;4;T
P102;4;4;services;teacher;4;T
P103;4;4;services;other;5;T
P104;3;2;services;other;4;T
P105;3;4;services;other;5;A
P106;3;3;other;health;4;A
P107;2;2;other;other;5;T
P108;3;3;services;other;5;T
P109;4;4;other;other;1;T
P11;4;4;teacher;health;3;T
P110;4;4;health;health;5;T
P111;4;4;teacher;teacher;5;A
P112;3;3;services;other;4;T
P113;2;2;at_home;other;3;T
P114;4;2;teacher;other;3;T
P115;2;1;health;services;5;T
P116;4;4;teacher;teacher;5;T
P117;4;4;other;teacher;4;T
P118;3;3;other;services;5;T
P119;1;3;other;other;5;T
P12;2;1;services;other;5;T
P120;3;4;other;other;3;T
P121;1;2;at_home;services;3;T
P122;2;2;services;services;5;T
P123;2;4;other;health;4;T
P124;4;4;health;other;3;T
P125;2;2;other;other;5;T
P126;3;4;services;services;5;T
P127;3;4;other;other;5;A
P128;0;1;at_home;other;3;T
P129;2;2;services;other;3;T
P13;4;4;health;services;4;T
P130;4;4;teacher;teacher;3;T
P131;3;4;services;teacher;4;T
P132;1;1;at_home;other;4;T
P133;2;2;other;other;3;T
P134;3;4;services;other;3;A
P135;3;4;at_home;teacher;5;T
P136;4;4;services;at_home;4;T
P137;3;4;at_home;other;5;T
P138;3;3;other;other;4;A
P139;1;1;services;other;4;T
P14;4;3;teacher;other;5;T
P140;4;4;teacher;teacher;4;T
P141;4;3;teacher;services;2;T
P142;2;2;services;services;2;T
P143;4;4;teacher;services;4;T
P144;1;1;at_home;at_home;3;T
P145;2;1;other;other;5;T
P146;1;1;other;services;4;T
P147;3;2;health;services;3;T
P148;1;2;at_home;other;4;T
P149;4;4;teacher;teacher;3;T
P15;2;2;other;other;4;A
P150;2;1;services;other;4;A
P151;1;1;other;other;2;T
P152;2;1;at_home;other;4;T
P153;3;3;services;services;4;T
P154;3;2;services;at_home;4;T
P155;4;4;other;teacher;4;T
P156;2;3;at_home;services;4;T
P157;1;2;other;other;2;T
P158;1;1;at_home;other;5;T
P159;2;2;at_home;other;4;T
P16;4;4;health;other;4;T
P160;3;3;other;services;4;T
P161;2;1;at_home;other;3;T
P162;3;2;other;other;4;T
P163;1;2;other;other;4;T
P164;1;3;at_home;services;5;T
P165;1;1;other;services;5;T
P166;3;2;services;services;4;T
P167;2;2;other;other;4;T
P168;4;2;health;services;4;T
P169;2;2;other;other;5;T
P17;4;4;services;services;3;T
P170;4;4;health;health;4;T
P171;3;4;other;other;3;T
P172;1;0;other;other;4;T
P173;4;4;teacher;other;4;T
P174;1;3;at_home;services;4;T
P175;3;3;other;other;4;T
P176;4;3;teacher;other;4;T
P177;2;2;services;other;3;T
P178;3;3;other;other;4;T
P179;4;2;teacher;services;4;T
P18;3;3;other;other;5;T
P180;4;3;other;other;5;T
P181;4;3;teacher;other;3;T
P182;3;3;services;other;4;T
P183;2;4;services;services;5;T
P184;3;3;other;other;5;T
P185;3;2;other;other;1;T
P186;3;3;services;services;4;T
P187;1;2;services;services;3;T
P188;2;1;other;other;4;T
P189;3;3;health;other;3;A
P19;3;2;services;services;5;T
P190;1;2;at_home;other;3;T
P191;2;3;services;services;4;T
P192;1;1;at_home;services;5;T
P193;1;2;at_home;services;4;T
P194;3;3;services;services;4;T
P195;2;3;other;other;5;T
P196;2;4;services;services;4;T
P197;4;4;services;teacher;5;T
P198;3;3;teacher;other;3;T
P199;4;4;services;teacher;4;T
P2;1;1;at_home;other;5;T
P20;4;3;health;other;3;T
P200;4;4;teacher;teacher;4;T
P201;4;3;health;other;4;T
P202;2;3;other;other;4;T
P203;1;1;other;other;4;T
P204;2;2;other;other;5;T
P205;2;2;services;services;5;T
P206;3;4;at_home;services;4;T
P207;3;1;services;other;2;A
P208;4;3;teacher;other;1;T
P209;1;1;at_home;other;4;T
P21;4;3;teacher;other;4;T
P210;4;3;teacher;other;4;T
P211;3;3;other;other;4;T
P212;4;4;services;other;5;T
P213;2;2;other;other;3;A
P214;2;2;services;other;4;T
P215;4;4;services;other;5;T
P216;3;2;other;other;4;T
P217;4;3;other;other;3;T
P218;3;3;services;health;3;T
