ID_Activite;Activites_parascolaires;Accees_internet;Temps_libre;Sortir_avec_les_amis
A1;no;no;3;4
A10;yes;yes;5;1
A100;no;yes;3;5
A101;yes;yes;5;5
A102;yes;yes;4;3
A103;yes;yes;3;3
A104;no;yes;3;5
A105;yes;yes;4;4
A106;no;no;3;3
A107;no;yes;1;2
A108;yes;yes;3;3
A109;yes;yes;3;5
A11;no;yes;3;3
A110;yes;yes;4;5
A111;yes;yes;5;3
A112;yes;yes;1;2
A113;yes;yes;1;2
A114;no;yes;5;2
A115;yes;yes;4;2
A116;yes;yes;4;4
A117;yes;no;4;3
A118;yes;yes;4;2
A119;yes;yes;2;4
A12;yes;yes;2;2
A120;no;yes;4;3
A121;no;yes;2;3
A122;yes;yes;5;4
A123;yes;yes;2;2
A124;yes;yes;4;4
A125;no;yes;4;4
A126;no;yes;5;5
A127;yes;yes;3;2
A128;no;no;4;2
A129;yes;yes;3;3
A13;yes;yes;3;3
A130;yes;yes;5;5
A131;no;yes;2;2
A132;yes;yes;3;3
A133;no;yes;4;4
A134;no;yes;2;1
A135;no;no;3;3
A136;yes;yes;3;3
A137;no;no;4;5
A138;yes;yes;3;2
A139;no;no;4;4
A14;no;yes;4;3
A140;yes;yes;3;2
A141;no;yes;2;2
A142;yes;yes;3;3
A143;yes;yes;2;2
A144;no;yes;4;4
A145;no;yes;4;5
A146;no;yes;4;2
A147;no;yes;3;2
A148;no;yes;3;2
A149;no;yes;3;2
A15;no;yes;5;2
A150;no;yes;5;5
A151;no;yes;3;5
A152;yes;no;4;4
A153;yes;yes;2;1
A154;no;yes;5;4
A155;no;no;2;1
A156;yes;no;4;4
A157;no;no;2;2
A158;yes;no;2;5
A159;no;no;2;2
A16;no;yes;4;4
A160;no;yes;5;5
A161;yes;yes;3;2
A162;no;yes;4;4
A163;yes;no;4;4
A164;no;yes;3;3
A165;yes;no;3;5
A166;yes;no;5;2
A167;no;yes;3;5
A168;no;yes;2;3
A169;no;yes;1;5
A17;yes;yes;2;3
A170;no;yes;4;2
A171;yes;yes;4;5
A172;yes;yes;3;2
A173;yes;yes;4;4
A174;yes;yes;3;5
A175;yes;yes;4;5
A176;yes;yes;4;4
A177;yes;yes;4;4
A178;yes;yes;3;4
A179;yes;yes;3;3
A18;yes;no;3;2
A180;yes;yes;2;3
A181;yes;yes;4;3
A182;yes;yes;2;3
A183;yes;no;4;2
A184;yes;yes;3;3
A185;no;yes;2;2
A186;yes;yes;3;4
A187;yes;yes;3;3
A188;yes;yes;2;3
A189;no;yes;3;3
A19;yes;yes;5;5
A190;no;no;1;3
A191;no;yes;3;3
A192;yes;yes;3;3
A193;yes;yes;4;4
A194;yes;yes;3;2
A195;no;yes;3;3
A196;yes;yes;3;2
A197;no;yes;2;3
A198;yes;yes;3;4
A199;no;yes;2;4
A2;no;yes;3;3
A20;yes;yes;1;3
A200;no;yes;5;2
A201;yes;yes;3;5
A202;yes;no;4;3
A203;no;no;4;4
A204;no;yes;3;2
A205;yes;yes;3;5
A206;no;yes;4;3
A207;no;yes;3;3
A208;yes;yes;3;2
A209;no;no;3;2
A21;no;yes;4;1
A210;yes;yes;4;2
A211;yes;yes;3;3
A212;no;yes;3;5
A213;no;yes;3;4
A214;yes;yes;4;4
A215;no;no;2;1
A216;no;yes;4;4
A217;no;yes;4;5
A218;no;yes;2;4
A219;no;no;3;3
A22;no;yes;4;2
A220;yes;yes;3;3
A221;yes;yes;2;5
A222;yes;no;3;4
A223;no;yes;3;1
A224;no;yes;3;3
A225;yes;yes;3;2
A226;yes;yes;3;3
A227;yes;yes;3;4
A228;no;yes;3;3
A229;yes;yes;3;2
A23;yes;yes;5;1
A230;yes;yes;2;3
A231;yes;yes;2;3
A232;yes;yes;5;2
A233;yes;yes;5;5
A234;yes;yes;2;4
A235;no;yes;4;2
A236;yes;yes;3;3
A237;yes;yes;4;2
A238;no;yes;5;2
A239;yes;no;1;1
A24;yes;yes;4;4
A240;no;yes;5;4
A241;yes;yes;5;5
A242;no;yes;3;3
A243;yes;yes;4;5
A244;yes;yes;3;2
A245;no;yes;4;4
A246;no;yes;3;3
A247;no;yes;2;2
A248;no;yes;4;5
A249;no;yes;3;3
A25;yes;yes;3;2
A250;no;yes;3;2
A251;no;yes;4;5
A252;no;yes;3;3
A253;no;yes;2;5
A254;yes;no;3;2
A255;no;yes;4;2
A256;yes;yes;4;4
A257;yes;yes;2;3
A258;no;yes;3;1
A259;yes;yes;2;4
A26;no;yes;2;2
A260;yes;yes;4;1
A261;no;yes;1;2
A262;no;yes;3;2
A263;yes;no;3;2
A264;yes;no;2;3
A265;yes;yes;3;3
A266;yes;yes;2;5
A267;yes;yes;4;4
A268;yes;yes;3;4
A269;yes;yes;4;5
A27;no;yes;2;2
A270;no;yes;3;5
A271;yes;yes;3;5
A272;yes;yes;5;5
A273;no;no;4;3
A274;yes;no;5;2
A275;no;yes;3;3
A276;no;yes;4;4
A277;no;yes;1;1
A278;yes;yes;2;4
A279;yes;yes;4;4
A28;no;yes;2;4
A280;yes;yes;2;3
A281;yes;yes;5;4
A282;no;yes;4;4
A283;yes;no;2;2
A284;yes;yes;4;4
A285;no;yes;4;5
A286;no;yes;3;3
A287;no;yes;3;3
A288;no;yes;3;3
A289;yes;yes;2;4
A29;yes;yes;3;3
A290;yes;yes;4;3
A291;yes;yes;3;2
A292;no;yes;2;2
A293;no;yes;4;3
A294;no;no;1;2
A295;yes;yes;4;2
A296;no;yes;4;3
A297;yes;yes;3;4
A298;no;yes;4;5
A299;no;yes;3;3
A3;no;yes;3;2
A30;yes;yes;4;5
A300;no;yes;4;2
A301;no;yes;2;4
A302;no;yes;1;1
A303;no;yes;3;3
A304;yes;yes;2;2
A305;yes;yes;4;4
A306;yes;yes;4;3
A307;yes;no;5;3
A308;no;yes;3;4
A309;yes;no;5;3
A31;no;yes;4;2
A310;yes;yes;4;3
A311;yes;no;2;4
A312;no;yes;4;1
A313;no;yes;5;2
A314;no;yes;2;2
A315;no;yes;1;2
A316;no;yes;1;2
A317;yes;yes;3;3
A318;yes;yes;3;4
A319;yes;yes;3;4
A32;yes;yes;3;1
A320;no;yes;4;4
A321;no;yes;2;2
A322;no;no;2;2
A323;yes;yes;3;2
A324;no;yes;4;3
A325;no;yes;3;3
A326;yes;yes;3;3
A327;yes;yes;3;5
A328;no;yes;4;5
A329;yes;yes;4;4
A33;yes;yes;5;2
A330;no;yes;3;3
A331;yes;yes;5;5
A332;no;yes;4;3
A333;yes;yes;3;4
A334;yes;yes;3;3
A335;yes;no;4;4
A336;no;yes;4;5
A337;no;no;4;3
A338;no;yes;3;2
A339;no;yes;3;3
A34;yes;yes;3;2
A340;no;yes;3;3
A341;yes;yes;3;4
A342;yes;yes;3;3
A343;yes;yes;3;3
A344;no;yes;3;1
A345;no;yes;3;3
A346;no;yes;4;3
A347;no;yes;3;2
A348;no;yes;4;5
A349;yes;yes;4;3
A35;no;yes;4;3
A350;no;yes;5;5
A351;no;yes;4;4
A352;no;yes;5;4
A353;no;yes;3;3
A354;no;yes;4;4
A355;yes;yes;5;5
A356;no;no;3;4
A357;yes;yes;3;3
A358;no;no;2;3
A359;no;yes;3;2
A36;yes;no;5;1
A360;no;yes;3;2
A361;no;no;3;4
A362;yes;no;4;3
A363;no;yes;3;2
A364;yes;yes;3;4
A365;no;no;2;2
A366;no;no;3;4
A367;no;yes;2;2
A368;no;yes;2;1
